country,iso_2,indicator,subject,measure,frequency,year,avg_wage_usd
AUS,AU,AVWAGE,TOT,USD,A,2016,53724.08916
AUS,AU,AVWAGE,TOT,USD,A,2017,53437.05875
AUS,AU,AVWAGE,TOT,USD,A,2018,53514.82722
AUS,AU,AVWAGE,TOT,USD,A,2019,54020.79149
AUS,AU,AVWAGE,TOT,USD,A,2020,55206.39366
AUT,,AVWAGE,TOT,USD,A,2016,53169.97786
AUT,,AVWAGE,TOT,USD,A,2017,53136.35296
AUT,,AVWAGE,TOT,USD,A,2018,53325.48602
AUT,,AVWAGE,TOT,USD,A,2019,53690.03138
AUT,,AVWAGE,TOT,USD,A,2020,53131.84726
BEL,,AVWAGE,TOT,USD,A,2016,55525.98994
BEL,,AVWAGE,TOT,USD,A,2017,55130.18197
BEL,,AVWAGE,TOT,USD,A,2018,55387.6953
BEL,,AVWAGE,TOT,USD,A,2019,56021.80535
BEL,,AVWAGE,TOT,USD,A,2020,54326.59817
CAN,CA,AVWAGE,TOT,USD,A,2016,52019.45589
CAN,CA,AVWAGE,TOT,USD,A,2017,52765.06913
CAN,CA,AVWAGE,TOT,USD,A,2018,53730.1079
CAN,CA,AVWAGE,TOT,USD,A,2019,54119.30987
CAN,CA,AVWAGE,TOT,USD,A,2020,55342.0429
CZE,,AVWAGE,TOT,USD,A,2016,26574.90583
CZE,,AVWAGE,TOT,USD,A,2017,27930.69036
CZE,,AVWAGE,TOT,USD,A,2018,29420.90813
CZE,,AVWAGE,TOT,USD,A,2019,30354.84871
CZE,,AVWAGE,TOT,USD,A,2020,29884.58882
DNK,,AVWAGE,TOT,USD,A,2016,57043.39034
DNK,,AVWAGE,TOT,USD,A,2017,57355.11516
DNK,,AVWAGE,TOT,USD,A,2018,57794.20472
DNK,,AVWAGE,TOT,USD,A,2019,57967.31395
DNK,,AVWAGE,TOT,USD,A,2020,58429.65214
FIN,,AVWAGE,TOT,USD,A,2016,45588.35826
FIN,,AVWAGE,TOT,USD,A,2017,45338.75649
FIN,,AVWAGE,TOT,USD,A,2018,45770.84227
FIN,,AVWAGE,TOT,USD,A,2019,46248.57625
FIN,,AVWAGE,TOT,USD,A,2020,46229.5702
FRA,,AVWAGE,TOT,USD,A,2016,46214.25704
FRA,,AVWAGE,TOT,USD,A,2017,46852.35298
FRA,,AVWAGE,TOT,USD,A,2018,46866.52002
FRA,,AVWAGE,TOT,USD,A,2019,47112.38916
FRA,,AVWAGE,TOT,USD,A,2020,45580.70453
DEU,DE,AVWAGE,TOT,USD,A,2016,51901.81956
DEU,DE,AVWAGE,TOT,USD,A,2017,52454.14608
DEU,DE,AVWAGE,TOT,USD,A,2018,53220.54949
DEU,DE,AVWAGE,TOT,USD,A,2019,54041.35647
DEU,DE,AVWAGE,TOT,USD,A,2020,53744.9986
GRC,,AVWAGE,TOT,USD,A,2016,26267.59637
GRC,,AVWAGE,TOT,USD,A,2017,26418.33918
GRC,,AVWAGE,TOT,USD,A,2018,26680.28688
GRC,,AVWAGE,TOT,USD,A,2019,27010.03961
GRC,,AVWAGE,TOT,USD,A,2020,27207.32399
HUN,,AVWAGE,TOT,USD,A,2016,21061.80249
HUN,,AVWAGE,TOT,USD,A,2017,22586.13445
HUN,,AVWAGE,TOT,USD,A,2018,23720.56899
HUN,,AVWAGE,TOT,USD,A,2019,24470.79981
HUN,,AVWAGE,TOT,USD,A,2020,25408.61293
IRL,,AVWAGE,TOT,USD,A,2016,47811.68512
IRL,,AVWAGE,TOT,USD,A,2017,48375.91945
IRL,,AVWAGE,TOT,USD,A,2018,48586.23101
IRL,,AVWAGE,TOT,USD,A,2019,49509.02718
IRL,,AVWAGE,TOT,USD,A,2020,49473.55284
ITA,,AVWAGE,TOT,USD,A,2016,40192.93598
ITA,,AVWAGE,TOT,USD,A,2017,39933.77824
ITA,,AVWAGE,TOT,USD,A,2018,39984.83545
ITA,,AVWAGE,TOT,USD,A,2019,40145.07643
ITA,,AVWAGE,TOT,USD,A,2020,37769.09608
JPN,JP,AVWAGE,TOT,USD,A,2016,37810.38851
JPN,JP,AVWAGE,TOT,USD,A,2017,37972.25532
JPN,JP,AVWAGE,TOT,USD,A,2018,38461.96961
JPN,JP,AVWAGE,TOT,USD,A,2019,39041.13712
JPN,JP,AVWAGE,TOT,USD,A,2020,38514.86506
KOR,,AVWAGE,TOT,USD,A,2016,39266.09584
KOR,,AVWAGE,TOT,USD,A,2017,40215.98198
KOR,,AVWAGE,TOT,USD,A,2018,41624.49366
KOR,,AVWAGE,TOT,USD,A,2019,42296.75013
KOR,,AVWAGE,TOT,USD,A,2020,41960.27038
LUX,,AVWAGE,TOT,USD,A,2016,66392.76559
LUX,,AVWAGE,TOT,USD,A,2017,67392.86259
LUX,,AVWAGE,TOT,USD,A,2018,67447.75993
LUX,,AVWAGE,TOT,USD,A,2019,66839.50442
LUX,,AVWAGE,TOT,USD,A,2020,65854.01134
MEX,MX,AVWAGE,TOT,USD,A,2016,16322.4422
MEX,MX,AVWAGE,TOT,USD,A,2017,16277.25176
MEX,MX,AVWAGE,TOT,USD,A,2018,16637.09238
MEX,MX,AVWAGE,TOT,USD,A,2019,16771.28558
MEX,MX,AVWAGE,TOT,USD,A,2020,16229.92435
NLD,,AVWAGE,TOT,USD,A,2016,58603.73053
NLD,,AVWAGE,TOT,USD,A,2017,58171.02554
NLD,,AVWAGE,TOT,USD,A,2018,57581.37653
NLD,,AVWAGE,TOT,USD,A,2019,57474.54581
NLD,,AVWAGE,TOT,USD,A,2020,58827.50354
NOR,,AVWAGE,TOT,USD,A,2016,54224.15098
NOR,,AVWAGE,TOT,USD,A,2017,54117.10542
NOR,,AVWAGE,TOT,USD,A,2018,54690.64418
NOR,,AVWAGE,TOT,USD,A,2019,55752.92248
NOR,,AVWAGE,TOT,USD,A,2020,55779.82952
POL,,AVWAGE,TOT,USD,A,2016,27144.65251
POL,,AVWAGE,TOT,USD,A,2017,28294.26082
POL,,AVWAGE,TOT,USD,A,2018,30212.17763
POL,,AVWAGE,TOT,USD,A,2019,31958.8647
POL,,AVWAGE,TOT,USD,A,2020,32527.05164
PRT,,AVWAGE,TOT,USD,A,2016,26699.07504
PRT,,AVWAGE,TOT,USD,A,2017,26819.69566
PRT,,AVWAGE,TOT,USD,A,2018,27263.31863
PRT,,AVWAGE,TOT,USD,A,2019,27977.87276
PRT,,AVWAGE,TOT,USD,A,2020,28410.03815
SVK,,AVWAGE,TOT,USD,A,2016,21429.79728
SVK,,AVWAGE,TOT,USD,A,2017,22071.90638
SVK,,AVWAGE,TOT,USD,A,2018,22692.39638
SVK,,AVWAGE,TOT,USD,A,2019,23437.83418
SVK,,AVWAGE,TOT,USD,A,2020,23618.99874
ESP,,AVWAGE,TOT,USD,A,2016,39844.86549
ESP,,AVWAGE,TOT,USD,A,2017,39325.94369
ESP,,AVWAGE,TOT,USD,A,2018,39032.63935
ESP,,AVWAGE,TOT,USD,A,2019,39054.67615
ESP,,AVWAGE,TOT,USD,A,2020,37922.20248
SWE,,AVWAGE,TOT,USD,A,2016,45423.03436
SWE,,AVWAGE,TOT,USD,A,2017,45680.51344
SWE,,AVWAGE,TOT,USD,A,2018,45916.58394
SWE,,AVWAGE,TOT,USD,A,2019,46417.97533
SWE,,AVWAGE,TOT,USD,A,2020,47020.48989
CHE,,AVWAGE,TOT,USD,A,2016,65453.36421
CHE,,AVWAGE,TOT,USD,A,2017,65150.65867
CHE,,AVWAGE,TOT,USD,A,2018,64963.40398
CHE,,AVWAGE,TOT,USD,A,2019,65905.72253
CHE,,AVWAGE,TOT,USD,A,2020,64824.38109
GBR,,AVWAGE,TOT,USD,A,2016,47180.7786
GBR,,AVWAGE,TOT,USD,A,2017,47145.56192
GBR,,AVWAGE,TOT,USD,A,2018,47229.22831
GBR,,AVWAGE,TOT,USD,A,2019,47936.62857
GBR,,AVWAGE,TOT,USD,A,2020,47147.20162
USA,US,AVWAGE,TOT,USD,A,2016,63941.85704
USA,US,AVWAGE,TOT,USD,A,2017,64618.45226
USA,US,AVWAGE,TOT,USD,A,2018,65302.94014
USA,US,AVWAGE,TOT,USD,A,2019,66382.50555
USA,US,AVWAGE,TOT,USD,A,2020,69391.80642
EST,,AVWAGE,TOT,USD,A,2016,24932.28357
EST,,AVWAGE,TOT,USD,A,2017,26417.3582
EST,,AVWAGE,TOT,USD,A,2018,27919.83526
EST,,AVWAGE,TOT,USD,A,2019,29948.40438
EST,,AVWAGE,TOT,USD,A,2020,30720.26307
ISR,,AVWAGE,TOT,USD,A,2016,36920.6882
ISR,,AVWAGE,TOT,USD,A,2017,37902.65953
ISR,,AVWAGE,TOT,USD,A,2018,38810.83011
ISR,,AVWAGE,TOT,USD,A,2019,39537.25201
ISR,,AVWAGE,TOT,USD,A,2020,39321.71039
SVN,,AVWAGE,TOT,USD,A,2016,38048.93416
SVN,,AVWAGE,TOT,USD,A,2017,38705.81058
SVN,,AVWAGE,TOT,USD,A,2018,39376.87349
SVN,,AVWAGE,TOT,USD,A,2019,40532.84617
SVN,,AVWAGE,TOT,USD,A,2020,41445.17428
OECD,,AVWAGE,TOT,USD,A,2016,47290.04419
OECD,,AVWAGE,TOT,USD,A,2017,47666.43337
OECD,,AVWAGE,TOT,USD,A,2018,48218.99178
OECD,,AVWAGE,TOT,USD,A,2019,48935.47871
OECD,,AVWAGE,TOT,USD,A,2020,49165.36245
ISL,,AVWAGE,TOT,USD,A,2016,62949.0161
ISL,,AVWAGE,TOT,USD,A,2017,69050.63691
ISL,,AVWAGE,TOT,USD,A,2018,72465.77192
ISL,,AVWAGE,TOT,USD,A,2019,70391.15759
ISL,,AVWAGE,TOT,USD,A,2020,67488.01311
NZL,,AVWAGE,TOT,USD,A,2016,42862.12165
NZL,,AVWAGE,TOT,USD,A,2017,43147.56396
NZL,,AVWAGE,TOT,USD,A,2018,44120.76465
NZL,,AVWAGE,TOT,USD,A,2019,45092.03472
NZL,,AVWAGE,TOT,USD,A,2020,45269.48281
CHL,,AVWAGE,TOT,USD,A,2016,28252.10642
CHL,,AVWAGE,TOT,USD,A,2017,27605.31111
CHL,,AVWAGE,TOT,USD,A,2018,28573.75393
CHL,,AVWAGE,TOT,USD,A,2019,29578.97207
CHL,,AVWAGE,TOT,USD,A,2020,26728.91876
LVA,,AVWAGE,TOT,USD,A,2016,25153.56213
LVA,,AVWAGE,TOT,USD,A,2017,26127.7969
LVA,,AVWAGE,TOT,USD,A,2018,27106.56687
LVA,,AVWAGE,TOT,USD,A,2019,28644.52889
LVA,,AVWAGE,TOT,USD,A,2020,29876.41972
LTU,,AVWAGE,TOT,USD,A,2016,24981.55718
LTU,,AVWAGE,TOT,USD,A,2017,26382.37111
LTU,,AVWAGE,TOT,USD,A,2018,27572.38345
LTU,,AVWAGE,TOT,USD,A,2019,29695.40261
LTU,,AVWAGE,TOT,USD,A,2020,31810.98008
IND,IN,AVWAGE,TOT,USD,A,2020,2558.81
UAE,AE,AVWAGE,TOT,USD,A,2020,59616.13
HKG,HK,AVWAGE,TOT,USD,A,2020,28079.02
